Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates,Date of change,
BMW,Z4 Series E85,Z4 3.0i Roadster,M6,2979,Petrol,13.5,6.6,9.1,20.9,42.8,31.0,221,634,III,72.0,0.3,,0.1,0.0,,06 March 2003,
BMW,Z4 Series E85,Z4 3.0i Roadster - SSG,M6,2979,Petrol,13.5,6.6,9.1,20.9,42.8,31.0,221,634,III,72.0,0.3,,0.1,0.0,,06 March 2003,
BMW,Z4 Series E85,Z4 3.0i Roadster,A5,2979,Petrol,13.5,7.3,9.5,20.9,38.7,29.7,231,661,III,72.0,0.5,,0.1,0.0,,06 March 2003,
BMW,3 Series E46,325 Ci Coupé - SSG,M6,2494,Petrol,12.8,6.9,9.0,22.1,40.9,31.4,217,625,III,73.0,0.5,,0.1,0.0,,06 March 2003,
BMW,3 Series E46,M3 Coupé - SMG,M6,3246,Petrol,17.8,8.4,11.9,15.9,33.6,23.7,287,829,III,75.0,0.8,,0.1,0.0,,06 March 2003,
BMW,3 Series E46,M3 Convertible - SMG,M6,3246,Petrol,17.9,8.8,12.1,15.8,32.1,23.3,292,843,III,75.0,0.8,,0.1,0.0,,06 March 2003,
BMW,3 Series E46,325ti Compact - SSG,M6,2494,Petrol,12.3,7.0,8.9,23.0,40.4,31.7,215,620,III,73.0,0.5,,0.1,0.0,,06 March 2003,
BMW,3 Series E46,330 Ci Coupé - SSG,M6,2979,Petrol,12.8,6.9,9.1,22.1,40.9,31.0,218,634,III,74.0,0.3,,0.0,0.0,,06 March 2003,
BMW,3 Series E46,325 Ci Convertible - SSG,M6,2494,Petrol,13.2,7.5,9.6,21.4,37.7,29.4,230,668,III,73.0,0.5,,0.1,0.0,,06 March 2003,
BMW,3 Series E46,330 Ci Convertible - SSG,M6,2979,Petrol,13.4,7.3,9.6,21.1,38.7,29.4,229,668,III,74.0,0.3,,0.0,0.0,,06 March 2003,
BMW,3 Series E46,325i Saloon - SSG,M6,2494,Petrol,12.8,6.9,9.0,22.1,40.9,31.4,217,625,III,73.0,0.5,,0.1,0.0,,06 March 2003,
BMW,3 Series E46,330i Saloon - SSG,M6,2979,Petrol,12.8,6.9,9.1,22.1,40.9,31.0,218,634,III,74.0,0.3,,0.0,0.0,,06 March 2003,
BMW,3 Series E46,325i Touring - SSG,M6,2494,Petrol,12.9,7.1,9.2,21.9,39.8,30.7,221,640,III,73.0,0.5,,0.1,0.0,,06 March 2003,
BMW,3 Series E46,330i Touring - SSG,M6,2979,Petrol,12.9,7.1,9.3,21.9,39.8,30.4,222,646,III,74.0,0.3,,0.0,0.0,,06 March 2003,
BMW,3 Series E46,318i Saloon,M5,1995,Petrol,10.4,5.7,7.4,27.2,49.6,38.2,180,514,III,73.0,1.2,,0.1,0.1,,06 March 2003,
BMW,3 Series E46,318i Saloon,A5,1995,Petrol,11.2,6.3,8.1,25.2,44.8,34.9,196,563,III,74.0,0.8,,0.1,0.1,,21 March 2002,
