Manufacturers,Model,Description,Transmission,Engine Capacity,Fuel Type,Metric Urban (cold),Metric Extra-urban,Metric Combined,Imperial (cold),Imperial Extra-urban,Imperial Combined,CO2 g/km,Fuel Cost 6000 Miles,Euro Standard,Noise Level dB(A),Emissions CO,Emissions HC+NOx,Emissions HC,Emissions NOx,Emissions Particulates
FORD,Focus,1.8i 16V Estate (14 inch tyre),M5,1796,Petrol,10.4,6.0,7.6,27.2,47.1,37.2,181,550,II,71.0,0.230,0.126
FORD,Focus,1.8i 16V 4 Door Saloon (15 inch tyre),M5,1796,Petrol,10.2,6.0,7.5,27.7,47.1,37.7,179,543,II,71.0,0.230,0.126,,,
FORD,Focus,1.8i 16V 3/5 Door Saloon (15 inch tyre),M5,1796,Petrol,10.2,6.0,7.7,27.7,47.1,37.2,181,550,II,71.0,0.230,0.126,,,
FORD,Focus,1.8i 16V Estate (15 inch tyre),M5,1796,Petrol,10.4,6.1,7.7,27.2,46.3,36.7,184,557,II,71.0,0.230,0.126,,,
FORD,Focus,2.0i 16V 5 Door Saloon (15 inch tyre),M5,1988,Petrol,11.6,6.9,8.7,24.4,40.9,32.5,207,629,II,74.0,0.491,0.126,,,
FORD,Focus,2.0i 16V 4 Door Saloon/Estate (15 inch tyre),M5,1988,Petrol,11.6,6.9,8.6,24.4,40.9,32.8,205,624,II,74.0,0.491,0.126,,,
FORD,Focus,2.0i 16V 3 Door Saloon (16 inch tyre),M5,1988,Petrol,11.6,7.1,8.7,24.4,39.8,32.5,207,629,II,74.0,0.491,0.126,,,
FORD,Focus,2.0i 16V 5 Door Saloon/Estate (16 inch tyre),M5,1988,Petrol,11.8,7.2,8.9,23.7,39.2,31.7,212,645,II,74.0,0.491,0.126,,,
FORD,Focus,1.8 TCi Diesel 4 Door Saloon (14 inch tyre),M5,1753,Diesel,7.1,4.2,5.4,39.8,67.3,52.3,142,407,II,71.0,0.526,0.727,,,0.036
FORD,Focus,1.8 TCi Diesel 5 Door Saloon/Estate (14 inch tyre),M5,1753,Diesel,7.2,4.4,5.4,39.2,64.2,52.3,143,407,II,71.0,0.526,0.727,,,0.036
FORD,Focus,1.8 TCi Diesel 4 Door Saloon (15 inch tyre),M5,1753,Diesel,7.2,4.4,5.4,39.2,64.2,52.3,144,407,II,71.0,0.526,0.727,,,0.036
FORD,Focus,1.8 TCi Diesel 5 Door Saloon/Estate (15 inch tyre),M5,1753,Diesel,7.2,4.5,5.5,39.2,62.8,51.4,145,414,II,71.0,0.526,0.727,,,0.036
